,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1,id, name,is_claimed,is_closed,url,phone,review_count,rating,categories,snippet_text,address,city,state,country,postal_code,neighborhoods,display_address,deals,menu_provider,reservation_url,is_claimed_binary,is_closed_binary,review_count_range,there_is_deal
0,0,0,0,smoke-and-barrel-washington,Smoke & Barrel,False,False,https://www.yelp.com/biz/smoke-and-barrel-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2023199353.0,479,3.5,"[Category(name='Bars', alias='bars'), Category(name='American (New)', alias='newamerican'), Category(name='Barbeque', alias='bbq')]",I definitely enjoy coming to this neighborhood joint. I really like their barbecue chicken. I have been here a few times and both food and service was good....,['2471 18th St NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['2471 18th St NW', 'Adams Morgan', 'Washington, DC 20009']",,single_platform,,0.0,0.0,Level 7,False
1,1,1,1,songbyrd-record-cafe-washington-2,Songbyrd Record Cafe,False,False,https://www.yelp.com/biz/songbyrd-record-cafe-washington-2?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2024502917.0,83,4.0,"[Category(name='Vinyl Records', alias='vinyl_records'), Category(name='Coffee & Tea', alias='coffee'), Category(name='Sandwiches', alias='sandwiches')]","DC needs Songbyrd Record Cafe more than Songbyrd needs DC. In a city of suits and politics, Songbyrd pushes DC to tap into their creative side. Where...",['2477 18th St NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['2477 18th St NW', 'Adams Morgan', 'Washington, DC 20009']",,eat24,,0.0,0.0,Level 4,False
2,2,2,2,tryst-washington,Tryst,False,False,https://www.yelp.com/biz/tryst-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2022325500.0,1220,4.0,"[Category(name='Lounges', alias='lounges'), Category(name='Coffee & Tea', alias='coffee'), Category(name='American (Traditional)', alias='tradamerican')]","Loooooovvvvveeeeee this place. I've been here 3 times, with the more recent time being last weekend. The service is fantastic (our waiter was energetic and...",['2459 18th St NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['2459 18th St NW', 'Adams Morgan', 'Washington, DC 20009']",,,,0.0,0.0,Level 9,False
3,3,3,3,the-diner-washington,The Diner,False,False,https://www.yelp.com/biz/the-diner-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2022328800.0,763,3.5,"[Category(name='Diners', alias='diners'), Category(name='Bars', alias='bars')]","Yes, yes and more yes! My friends and I came here after celebrating a birthday in NE.  We were starving and wanted to continue enjoying the good vibes we...",['2453 18th St NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['2453 18th St NW', 'Adams Morgan', 'Washington, DC 20009']",,,,0.0,0.0,Level 8,False
4,4,4,4,bukom-cafe-washington,Bukom Cafe,False,False,https://www.yelp.com/biz/bukom-cafe-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2022654600.0,166,3.5,"[Category(name='African', alias='african')]","I'm addicted to the live reggae they play 7 nights a week (they're open until at least 1:30 am every day). This means I was at Bukom on Tuesday, a few days...",['2442 18th St NW'],Washington,DC,US,20441.0,['Adams Morgan'],"['2442 18th St NW', 'Adams Morgan', 'Washington, DC 20441']",,single_platform,,0.0,0.0,Level 5,False
5,5,5,5,pizza-mart-washington,Pizza Mart,False,False,https://www.yelp.com/biz/pizza-mart-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2022349700.0,136,3.5,"[Category(name='Pizza', alias='pizza')]","Pizza Mart is everything I wanted it to be, and more. First we should clarify, you are not buying a slice, you are buying the equivalent of a small pizza...",['2445 18th St NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['2445 18th St NW', 'Adams Morgan', 'Washington, DC 20009']",,single_platform,,0.0,0.0,Level 5,False
6,6,6,6,sakuramen-washington,Sakuramen,False,False,https://www.yelp.com/biz/sakuramen-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2026565285.0,1057,4.0,"[Category(name='Asian Fusion', alias='asianfusion'), Category(name='Ramen', alias='ramen'), Category(name='Korean', alias='korean')]","This is one of my favorite ramen spots in the DMV! 

The waiting area is always packed so come early or expect a wait if you come during dinner time....",['2441 18th St NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['2441 18th St NW', 'Adams Morgan', 'Washington, DC 20009']",,single_platform,,0.0,0.0,Level 9,False
7,7,7,7,mellow-mushroom-washington-2,Mellow Mushroom,False,False,https://www.yelp.com/biz/mellow-mushroom-washington-2?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2022902778.0,354,3.5,"[Category(name='Pizza', alias='pizza'), Category(name='Bars', alias='bars'), Category(name='Sandwiches', alias='sandwiches')]","We visited DC for Memorial Day weekend and stayed in the beautiful neighborhood of Adams Morgan. The area has multiple quality restaurants, and this spot...",['2436 18th St NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['2436 18th St NW', 'Adams Morgan', 'Washington, DC 20009']",,single_platform,,0.0,0.0,Level 7,False
8,8,8,8,mez?-washington-2,Mez?,False,False,https://www.yelp.com/biz/mez%C3%A8-washington-2?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2027970017.0,286,3.5,"[Category(name='Turkish', alias='turkish'), Category(name='Tapas Bars', alias='tapas')]",Husband and I were looking for a nice place to enjoy some cocktails on a hot early afternoon. Meze was the only spot on the strip that had good music and a...,['2437 18th St NW'],Washington,DC,US,20009.0,['Adams Morgan'],"['2437 18th St NW', 'Adams Morgan', 'Washington, DC 20009']",,eat24,,0.0,0.0,Level 6,False
9,9,9,9,donburi-washington,Donburi,False,False,https://www.yelp.com/biz/donburi-washington?adjust_creative=YBtChIPsSg-V6bC8n2FhXA&utm_campaign=yelp_api&utm_medium=api_v2_search&utm_source=YBtChIPsSg-V6bC8n2FhXA,2026291047.0,512,4.0,"[Category(name='Japanese', alias='japanese')]","There is a reason that this place is always packed, the food is delicious!

I always order the Ebi Katsudon with Curry, you get radishes, three crispy...",['2438 18th N W'],Washington,DC,US,20009.0,['Adams Morgan'],"['2438 18th N W', 'Adams Morgan', 'Washington, DC 20009']",,eat24,,0.0,0.0,Level 8,False
